metric,value
files_discovered,1.0
files_loaded,1.0
total_rows,742.0
empty_judgments,0.0
duplicate_case_id_rows,0.0
duplicate_judgment_rows,4.0
annotation_complete_rows,0.0
annotation_partial_rows,728.0
annotation_all_missing_rows,14.0
median_char_count,3607.0
max_char_count,32759.0
median_word_count,647.5
max_word_count,6237.0
median_token_count,3145.5
p90_token_count,18633.09999999999
p95_token_count,25882.349999999995
p99_token_count,30008.18
max_token_count,30292.0
direct_rows_at_safe_limit,471.0
chunk_candidate_rows,271.0
