case_id,case_type,route,char_count,word_count
MP_ADM_000010,Administrative,chunk_candidate,32759,6055
CHG_CON_000012,Constitutional,chunk_candidate,32759,6129
CHG_CRI_000001,Criminal,chunk_candidate,32759,6187
DEL_ADM_000018,Administrative,chunk_candidate,32759,6065
CHG_CRI_000080,Criminal,chunk_candidate,32759,5880
MP_ADM_000006,Administrative,chunk_candidate,32759,6172
DL_CIV_000003,Civil,chunk_candidate,32759,5854
CHG_ADM_000045,Administrative,chunk_candidate,32759,5986
CHG_CON_000005,Constitutional,chunk_candidate,32759,6108
CHG_ADM_000031,Administrative,chunk_candidate,32759,5840
CHG_CIV_000011,Civil,chunk_candidate,32759,6217
CHG_CRI_000023,Criminal,chunk_candidate,32759,6024
CHG_ADM_000023,Administrative,chunk_candidate,32759,6122
DL_CIV_000006,Civil,chunk_candidate,32759,5943
DL_CRIM_000068,Criminal,chunk_candidate,32592,6237
DL_CRIM_000025,Criminal,chunk_candidate,32583,6161
DL_CRIM_000060,Criminal,chunk_candidate,32573,5962
DL_CRIM_000066,Criminal,chunk_candidate,32544,5849
DL_CRIM_000016,Criminal,chunk_candidate,32514,5939
DL_CRIM_000011,Criminal,chunk_candidate,32486,5866
DL_CRIM_000069,Criminal,chunk_candidate,32485,6123
DL_CRIM_000008,Criminal,chunk_candidate,32485,5866
DL_CRIM_000013,Criminal,chunk_candidate,32463,6068
DL_CRIM_000018,Criminal,chunk_candidate,32196,5358
MP_CRIM_000009,Criminal,chunk_candidate,32179,6079
DL_CRIM_000005,Criminal,chunk_candidate,31907,5898
CHG_CRI_000072,Criminal,chunk_candidate,31728,5773
CHG_CON_000002,Constitutional,chunk_candidate,31596,5683
DL_CIV_000004,Civil,chunk_candidate,31555,5706
CHG_CRI_000035,Criminal,chunk_candidate,30584,5593
